Protein,Low Acetate,High Acetate,Higher Acetate,High Fomrate,WTvsAchrs48,WTvsAchr144,WTvsH2hr,WTvsH2hr144
GSU0000.1,-1.595639633,-1.695243723,-1.47620066,-1.47620066,1.963787896,0.322755475,0.230776001,0.599550033
GSU0001,-2.191934621,-1.941289592,-1.916419396,-1.916419396,2.555393812,1.338681746,-0.069535434,2.56154994
GSU0002,-1.23211018,-1.296809724,-1.565223569,-1.565223569,0.118854641,-0.61798144,1.641844987,0.56453922
GSU0003,-2.034104722,-1.487748556,-1.850141218,-1.850141218,1.885629232,1.434469384,1.827301063,1.079581239
GSU0004,-1.981550323,-1.450260234,-1.896536237,-1.896536237,1.024651985,-0.112544749,0.910566631,-0.412577648
GSU0005,-0.52942512,-0.535207452,-1.082182037,-1.082182037,-5.938324191,-0.052309619,0.286711706,0.241162092
GSU0006,-0.392061693,-0.200140692,-0.823099087,-0.823099087,-0.75213108,-0.148339017,1.486343818,-0.347897952
GSU0007,0.01883877,0.057272987,-0.091813518,-0.091813518,0.203030372,1.077360234,1.517061786,0.568459361
GSU0008,0.393231409,0.423434806,0.501386033,0.501386033,1.788338191,1.161870092,1.673305224,-0.893173556
GSU0009,-0.253156097,-0.320600757,-0.091189322,-0.091189322,0.312848125,0.979483006,-0.341664175,-4.645229638
GSU0010,0.085759112,0.171169718,0.261263953,0.261263953,-1.587941935,-2.526221063,-1.033860817,-1.214946953
GSU0011,0.31173462,0.073314512,0.753375821,0.753375821,-3.811616614,-8.80138689,-8.876800216,-2.87568798
GSU0012,-3.317415382,-0.850843824,-2.301479047,-2.301479047,-3.150463607,-4.062009153,-2.878965789,-2.48635018
GSU0013,-2.282312712,-0.640001347,-1.658538236,-1.658538236,-5.759959483,-7.259687133,-6.493522181,-5.40317359
GSU0014,0.939504459,0.965693755,1.220999642,1.220999642,-2.772233311,-1.0806604,-0.751860776,-0.94066075
GSU0015,-0.33399591,-0.044203557,-0.038955644,-0.038955644,-1.728363629,-1.509076752,-1.927046659,-3.598436434
GSU0016,-1.297238194,-0.788877754,-0.321431137,-0.321431137,-3.009853176,-3.818106877,-3.024228392,-4.073794804
GSU0017,0.261896153,0.183071295,-0.078002484,-0.078002484,-3.536515304,-3.842615775,-2.812659228,-2.848254289
GSU0018,-0.347201398,-0.495624626,-0.579364989,-0.579364989,-4.119633698,-5.204624292,-3.88007911,-4.14846727
GSU0019,-0.125983319,-0.763769387,0.165554471,0.165554471,0.540091347,1.269290557,0.624385067,1.377013376
GSU0020,-0.554582779,-0.976467211,-0.299642879,-0.299642879,-1.293961124,-0.615429186,-2.045805493,1.492874329
GSU0021,-0.582812058,-0.939364411,0.010117772,0.010117772,0.83340125,-0.134242117,-0.570618076,-1.441471021
GSU0022,-0.351139529,-0.186773329,0.250480024,0.250480024,-0.902905132,-1.043334882,-0.63098222,-0.641318739
GSU0023,0.385186288,0.282880525,0.659735355,0.659735355,-2.142356122,-3.948815995,-3.768729505,-1.898088297
GSU0024,-0.298188354,-0.355947716,0.11932411,0.11932411,-1.912328479,-2.867237813,-3.839066931,-3.207173297
GSU0025,0.880792033,0.833620479,0.693453016,0.693453016,-1.654160985,-2.196869001,-0.077469594,-1.020785625
GSU0026,1.483069043,1.273856495,1.107945039,1.107945039,-3.068992026,-2.325646889,-1.221139506,-3.259214451
GSU0027,0.949092131,1.362822794,1.256423545,1.256423545,-3.988137215,-1.978031526,-1.654714274,-3.46672226
GSU0028,0.548028253,0.679542112,0.534395977,0.534395977,-0.718558086,-1.220073678,-1.296955786,-1.132378664
GSU0029,0.405525382,0.19948162,0.352456453,0.352456453,-1.793489941,-2.219888143,-1.479930218,-2.499442761
GSU0030,0.722125079,0.227069642,0.200671171,0.200671171,-0.187813281,-0.966029423,0.460727554,0.258439907
GSU0031,0.442631526,0.402044246,0.386673719,0.386673719,-0.219366053,-1.025658551,-0.201668828,-0.380818091
GSU0032,-0.072221428,0.337472949,0.075227568,0.075227568,-0.330740476,-0.429401189,-0.749414437,-0.33242917
GSU0033,0.887508209,1.097360168,1.668590458,1.668590458,-0.291572646,-1.225883842,-0.423931181,-0.374509509
GSU0034,0.787986988,1.08075203,1.486118906,1.486118906,0.42433776,0.333435229,-0.667218775,0.489992776
GSU0035,1.43929632,1.176677988,1.443226524,1.443226524,-1.045801294,-5.469027622,-0.624092646,-0.122880239
GSU0036,0.88648435,0.152887475,0.603968351,0.603968351,-1.054550606,-0.319156205,-1.200611978,-0.545971772
GSU0037,-0.835219346,-0.763480353,-0.737736778,-0.737736778,-1.623078408,-2.886683597,-1.787857152,-2.26582302
GSU0038,-1.032576999,-1.022802624,-0.750617097,-0.750617097,-2.168777213,-3.111878998,-2.368848351,-2.713585636
GSU0040,-0.4781758,-0.22467845,-0.691836772,-0.691836772,-1.311927431,1.712441242,-0.569812848,-1.38703189
GSU0042,-1.633862704,-0.790009657,-1.674755977,-1.674755977,-1.244628101,-0.461402731,0.34589011,0.671706847
