input	translation
GSU0000.1	ATP binding
GSU0000.1	ATP hydrolysis activity
GSU0000.1	DNA replication origin binding
GSU0001	3'-5' exonuclease activity
GSU0001	DNA binding
GSU0001	DNA-directed DNA polymerase activity
GSU0002	ATP binding
GSU0002	single-stranded DNA binding
GSU0003	ATP binding
GSU0003	DNA binding
GSU0003	"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity"
GSU0003	metal ion binding
GSU0004	ATP binding
GSU0004	DNA binding
GSU0004	DNA negative supercoiling activity
GSU0006	glycerol-3-phosphate dehydrogenase [NAD(P)+] activity
GSU0006	NAD binding
GSU0007	phosphorelay response regulator activity
GSU0007	phosphorelay sensor kinase activity
GSU0007	protein kinase activator activity
GSU0008	phosphorelay sensor kinase activity
GSU0009	phosphorelay response regulator activity
GSU0009	phosphorelay sensor kinase activity
GSU0009	protein kinase activator activity
GSU0010	ATP binding
GSU0010	phosphorelay sensor kinase activity
GSU0011	ATP binding
GSU0011	ATP hydrolysis activity
GSU0012	oxidoreductase activity
GSU0012	oxygen-dependent protoporphyrinogen oxidase activity
GSU0013	DNA-binding transcription factor activity
GSU0014	protein-folding chaperone binding
GSU0014	unfolded protein binding
GSU0015	peptidyl-prolyl cis-trans isomerase activity
GSU0016	peptidyl-prolyl cis-trans isomerase activity
GSU0017	ATP binding
GSU0017	damaged DNA binding
GSU0017	DNA binding
GSU0017	DNA translocase activity
GSU0017	helicase activity
GSU0017	hydrolase activity
GSU0017	RNA polymerase core enzyme binding
GSU0018	DNA-binding transcription factor activity
GSU0018	pyridoxal phosphate binding
GSU0018	transaminase activity
GSU0021	"4 iron, 4 sulfur cluster binding"
GSU0021	metal ion binding
GSU0021	quinolinate synthetase A activity
GSU0022	protein transmembrane transporter activity
GSU0027	transmembrane transporter activity
GSU0030	"4 iron, 4 sulfur cluster binding"
GSU0030	coproporphyrinogen oxidase activity
GSU0030	metal ion binding
GSU0031	DNA binding
GSU0032	adenyl-nucleotide exchange factor activity
GSU0032	protein homodimerization activity
GSU0032	protein-folding chaperone binding
GSU0032	unfolded protein binding
GSU0033	ATP binding
GSU0033	ATP hydrolysis activity
GSU0033	ATP-dependent protein folding chaperone
GSU0033	heat shock protein binding
GSU0033	protein folding chaperone
GSU0033	unfolded protein binding
GSU0034	ATP binding
GSU0034	heat shock protein binding
GSU0034	unfolded protein binding
GSU0034	zinc ion binding
GSU0035	"2',3'-cyclic-nucleotide 3'-phosphodiesterase activity"
GSU0035	2'-5'-RNA ligase activity
GSU0035	protein kinase A regulatory subunit binding
GSU0037	ATP binding
GSU0037	serine-tRNA ligase activity
GSU0040	peptidase activity
GSU0040	single-stranded DNA binding
GSU0044	calcium ion binding
GSU0046	nucleic acid binding
GSU0047	ATP binding
GSU0047	ATP hydrolysis activity
GSU0050	"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"
GSU0050	nucleic acid binding
GSU0050	zinc ion binding
GSU0057	"4 iron, 4 sulfur cluster binding"
GSU0057	DNA binding
GSU0057	endonuclease activity
GSU0057	exonuclease activity
GSU0057	metal ion binding
GSU0064	DNA binding
GSU0065	tRNA-specific adenosine-34 deaminase activity
GSU0065	zinc ion binding
GSU0066	thioredoxin peroxidase activity
GSU0067	carbonate dehydratase activity
GSU0067	zinc ion binding
GSU0069	iron-sulfur cluster binding
GSU0069	metal ion binding
GSU0078	cyclic-di-GMP binding
GSU0079	DNA binding
GSU0079	DNA-binding transcription factor activity
GSU0080	serine-type endopeptidase activity
GSU0082	pseudouridine synthase activity
GSU0082	RNA binding
GSU0082	rRNA pseudouridine synthase activity
GSU0083	2'-deoxyadenosine deaminase activity
